ts,pid,name,working_set_mb,private_mb,paged_mb,page_faults,cpu_s,read_ops,write_ops,system_commit_mb
2026-09-02T10:27:41.574536+00:00,3644,pwsh,90.6,25.72,25.72,,0.796875,,,41570.41
2026-09-02T10:27:41.574752+00:00,21824,ollama,89.55,108.45,108.45,,1.03125,,,41570.41
2026-09-02T10:27:41.574793+00:00,23620,llama-server,5238.59,5286.22,5286.22,,67,,,41570.41
2026-09-02T10:27:41.574813+00:00,5976,llama-server,11561.25,14389.59,14389.59,,1.609375,,,41570.41
2026-09-02T10:27:41.574831+00:00,26596,pwsh,84.55,26.45,26.45,,0.828125,,,41570.41
2026-09-02T10:27:41.574847+00:00,20608,python,4.53,0.89,0.89,,0,,,41570.41
2026-09-02T10:27:41.575445+00:00,26580,python,16.65,9.39,9.39,,0.078125,,,41570.41
2026-09-02T10:28:10.849120+00:00,3644,pwsh,9.2,28.09,28.09,,0.875,,,45483.67
2026-09-02T10:28:10.853650+00:00,21824,ollama,4.49,108.45,108.45,,1.25,,,45483.67
2026-09-02T10:28:10.853756+00:00,23620,llama-server,0.4,5286.22,5286.22,,67.078125,,,45483.67
2026-09-02T10:28:10.853799+00:00,5976,llama-server,1077.87,19980.6,19980.6,,11.40625,,,45483.67
2026-09-02T10:28:10.853828+00:00,26596,pwsh,17.48,26.65,26.65,,1.015625,,,45483.67
2026-09-02T10:28:10.853850+00:00,20608,python,0.04,0.89,0.89,,0,,,45483.67
2026-09-02T10:28:10.853872+00:00,26580,python,1.09,9.43,9.43,,0.125,,,45483.67
2026-09-02T10:28:20.906808+00:00,3644,pwsh,3.5,28.04,28.04,,0.875,,,45506.85
2026-09-02T10:28:20.913979+00:00,21824,ollama,4.37,108.42,108.42,,1.3125,,,45506.85
2026-09-02T10:28:20.914348+00:00,23620,llama-server,0.4,5286.22,5286.22,,67.109375,,,45506.85
2026-09-02T10:28:20.914421+00:00,5976,llama-server,1515.57,19981.75,19981.75,,17.28125,,,45506.85
2026-09-02T10:28:20.914447+00:00,26596,pwsh,13.19,28.21,28.21,,1.625,,,45506.85
2026-09-02T10:28:20.914468+00:00,20608,python,0.05,0.86,0.86,,0,,,45506.85
2026-09-02T10:28:20.914489+00:00,26580,python,5.64,9.24,9.24,,0.140625,,,45506.85
2026-09-02T10:28:30.999115+00:00,3644,pwsh,2.46,27.29,27.29,,0.875,,,28906.55
2026-09-02T10:28:30.999528+00:00,21824,ollama,4.88,108.42,108.42,,1.34375,,,28906.55
2026-09-02T10:28:31.000977+00:00,23620,llama-server,0.4,5286.22,5286.22,,67.140625,,,28906.55
2026-09-02T10:28:31.001048+00:00,5976,llama-server,7.07,13378.98,13378.98,,24.5,,,28906.55
2026-09-02T10:28:31.001071+00:00,26596,pwsh,6.74,28.11,28.11,,1.703125,,,28906.55
2026-09-02T10:28:31.001089+00:00,20608,python,0.05,0.86,0.86,,0,,,28906.55
2026-09-02T10:28:31.001103+00:00,26580,python,0.01,9.36,9.36,,0.15625,,,28906.55
2026-09-02T10:28:36.398525+00:00,3644,pwsh,2.46,27.29,27.29,,0.875,,,19986.53
2026-09-02T10:28:36.398630+00:00,21824,ollama,9.77,108.42,108.42,,1.40625,,,19986.53
2026-09-02T10:28:36.398651+00:00,23620,llama-server,1094.4,1388.89,1388.89,,70.203125,,,19986.53
2026-09-02T10:28:36.398667+00:00,26596,pwsh,6.74,28.11,28.11,,1.703125,,,19986.53
2026-09-02T10:28:36.398680+00:00,20608,python,0.05,0.86,0.86,,0,,,19986.53
2026-09-02T10:28:36.398693+00:00,26580,python,5.95,9.36,9.36,,0.171875,,,19986.53
2026-09-02T10:28:36.398707+00:00,27172,pwsh,79.79,23.77,23.77,,0.671875,,,19986.53
2026-09-02T10:28:36.398721+00:00,4136,python,4.2,0.89,0.89,,0.015625,,,19986.53
2026-09-02T10:28:36.398735+00:00,11460,python,27.5,15.67,15.67,,0.21875,,,19986.53
2026-09-02T10:28:41.415870+00:00,3644,pwsh,9.37,27.69,27.69,,0.890625,,,40107.48
2026-09-02T10:28:41.415995+00:00,21824,ollama,34.9,92.12,92.12,,1.65625,,,40107.48
2026-09-02T10:28:41.416096+00:00,26596,pwsh,11.63,27.23,27.23,,1.71875,,,40107.48
2026-09-02T10:28:41.416151+00:00,20608,python,0.05,0.86,0.86,,0,,,40107.48
2026-09-02T10:28:41.416174+00:00,26580,python,6.07,9.3,9.3,,0.171875,,,40107.48
2026-09-02T10:28:41.416200+00:00,27172,pwsh,79.92,23.82,23.82,,0.671875,,,40107.48
2026-09-02T10:28:41.416213+00:00,4136,python,4.2,0.89,0.89,,0.015625,,,40107.48
2026-09-02T10:28:41.416266+00:00,11460,python,27.5,15.67,15.67,,0.21875,,,40107.48
2026-09-02T10:28:41.416289+00:00,4268,llama-server,13016.38,16228.41,16228.41,,1.90625,,,40107.48
2026-09-02T10:28:46.985639+00:00,3644,pwsh,9.38,27.69,27.69,,0.890625,,,40690.53
2026-09-02T10:28:46.985775+00:00,21824,ollama,35.05,92.11,92.11,,1.671875,,,40690.53
2026-09-02T10:28:46.986051+00:00,26596,pwsh,11.61,27.18,27.18,,1.71875,,,40690.53
2026-09-02T10:28:46.986089+00:00,20608,python,0.05,0.86,0.86,,0,,,40690.53
2026-09-02T10:28:46.986114+00:00,26580,python,6.11,9.3,9.3,,0.203125,,,40690.53
2026-09-02T10:28:46.986132+00:00,27172,pwsh,79.23,22.54,22.54,,0.71875,,,40690.53
2026-09-02T10:28:46.986150+00:00,4136,python,4.2,0.89,0.89,,0.015625,,,40690.53
2026-09-02T10:28:46.986168+00:00,11460,python,27.5,15.67,15.67,,0.21875,,,40690.53
2026-09-02T10:28:46.986335+00:00,4268,llama-server,19951.48,19979.41,19979.41,,5.015625,,,40690.53
2026-09-02T10:28:52.244574+00:00,3644,pwsh,9.41,27.69,27.69,,0.890625,,,40818.09
2026-09-02T10:28:52.244673+00:00,21824,ollama,35.21,92.11,92.11,,1.6875,,,40818.09
2026-09-02T10:28:52.244713+00:00,26596,pwsh,13.61,27.46,27.46,,1.71875,,,40818.09
2026-09-02T10:28:52.244734+00:00,20608,python,0.05,0.86,0.86,,0,,,40818.09
2026-09-02T10:28:52.244769+00:00,26580,python,6.2,9.3,9.3,,0.21875,,,40818.09
2026-09-02T10:28:52.244787+00:00,27172,pwsh,81.39,24.05,24.05,,0.734375,,,40818.09
2026-09-02T10:28:52.244805+00:00,4136,python,4.2,0.89,0.89,,0.015625,,,40818.09
2026-09-02T10:28:52.244822+00:00,11460,python,27.5,15.67,15.67,,0.21875,,,40818.09
2026-09-02T10:28:52.244839+00:00,4268,llama-server,19888.2,19979.82,19979.82,,6.0625,,,40818.09
2026-09-02T10:28:58.098056+00:00,3644,pwsh,9.63,27.75,27.75,,0.890625,,,41263.3
2026-09-02T10:28:58.098238+00:00,21824,ollama,35.44,92.11,92.11,,1.71875,,,41263.3
2026-09-02T10:28:58.098263+00:00,26596,pwsh,14.11,27.54,27.54,,1.71875,,,41263.3
2026-09-02T10:28:58.098279+00:00,20608,python,0.05,0.86,0.86,,0,,,41263.3
2026-09-02T10:28:58.098295+00:00,26580,python,6.22,9.3,9.3,,0.234375,,,41263.3
2026-09-02T10:28:58.098448+00:00,27172,pwsh,83.0,25.38,25.38,,0.75,,,41263.3
2026-09-02T10:28:58.098515+00:00,4136,python,4.2,0.89,0.89,,0.015625,,,41263.3
2026-09-02T10:28:58.098615+00:00,11460,python,27.5,15.67,15.67,,0.21875,,,41263.3
2026-09-02T10:28:58.098634+00:00,4268,llama-server,19680.72,19981.46,19981.46,,8.828125,,,41263.3
2026-09-02T10:29:03.591360+00:00,3644,pwsh,10.12,27.7,27.7,,0.890625,,,40795.39
2026-09-02T10:29:03.591447+00:00,21824,ollama,35.68,92.11,92.11,,1.734375,,,40795.39
2026-09-02T10:29:03.591469+00:00,26596,pwsh,15.09,27.56,27.56,,1.734375,,,40795.39
2026-09-02T10:29:03.591486+00:00,20608,python,0.05,0.86,0.86,,0,,,40795.39
2026-09-02T10:29:03.591502+00:00,26580,python,6.23,9.3,9.3,,0.234375,,,40795.39
2026-09-02T10:29:03.591517+00:00,27172,pwsh,93.04,28.39,28.39,,0.9375,,,40795.39
2026-09-02T10:29:03.591532+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,40795.39
2026-09-02T10:29:03.591545+00:00,11460,python,27.5,15.67,15.67,,0.21875,,,40795.39
2026-09-02T10:29:03.591558+00:00,4268,llama-server,19521.21,19981.72,19981.72,,12.078125,,,40795.39
2026-09-02T10:29:08.158416+00:00,3644,pwsh,10.59,27.82,27.82,,0.890625,,,26348.61
2026-09-02T10:29:08.158613+00:00,21824,ollama,29.41,65.65,65.65,,1.8125,,,26348.61
2026-09-02T10:29:08.158642+00:00,26596,pwsh,15.13,27.39,27.39,,1.734375,,,26348.61
2026-09-02T10:29:08.158663+00:00,20608,python,0.05,0.86,0.86,,0,,,26348.61
2026-09-02T10:29:08.158685+00:00,26580,python,6.27,9.3,9.3,,0.234375,,,26348.61
2026-09-02T10:29:08.158706+00:00,27172,pwsh,93.0,28.32,28.32,,0.9375,,,26348.61
2026-09-02T10:29:08.158725+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,26348.61
2026-09-02T10:29:08.158744+00:00,11460,python,27.5,15.67,15.67,,0.21875,,,26348.61
2026-09-02T10:29:13.950628+00:00,3644,pwsh,10.55,27.77,27.77,,0.90625,,,30190.5
2026-09-02T10:29:13.950800+00:00,21824,ollama,27.85,63.18,63.18,,1.984375,,,30190.5
2026-09-02T10:29:13.950832+00:00,26596,pwsh,15.97,27.57,27.57,,1.734375,,,30190.5
2026-09-02T10:29:13.950858+00:00,20608,python,0.05,0.86,0.86,,0,,,30190.5
2026-09-02T10:29:13.950887+00:00,26580,python,6.28,9.3,9.3,,0.234375,,,30190.5
2026-09-02T10:29:13.950927+00:00,27172,pwsh,92.63,27.91,27.91,,0.9375,,,30190.5
2026-09-02T10:29:13.950951+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,30190.5
2026-09-02T10:29:13.951068+00:00,11460,python,27.5,15.67,15.67,,0.21875,,,30190.5
2026-09-02T10:29:13.951094+00:00,28496,llama-server,4575.79,4571.82,4571.82,,3.015625,,,30190.5
2026-09-02T10:29:20.735141+00:00,3644,pwsh,10.89,27.68,27.68,,0.90625,,,32176.03
2026-09-02T10:29:20.735291+00:00,21824,ollama,36.5,71.23,71.23,,2.109375,,,32176.03
2026-09-02T10:29:20.735327+00:00,26596,pwsh,16.15,27.62,27.62,,1.734375,,,32176.03
2026-09-02T10:29:20.735355+00:00,20608,python,0.05,0.86,0.86,,0,,,32176.03
2026-09-02T10:29:20.735381+00:00,26580,python,6.3,9.22,9.22,,0.25,,,32176.03
2026-09-02T10:29:20.735406+00:00,27172,pwsh,92.71,28.03,28.03,,0.953125,,,32176.03
2026-09-02T10:29:20.735430+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,32176.03
2026-09-02T10:29:20.735454+00:00,11460,python,27.5,15.67,15.67,,0.21875,,,32176.03
2026-09-02T10:29:20.735477+00:00,28496,llama-server,5194.23,5242.07,5242.07,,5,,,32176.03
2026-09-02T10:29:26.665083+00:00,3644,pwsh,10.87,27.63,27.63,,0.90625,,,32379.48
2026-09-02T10:29:26.665299+00:00,21824,ollama,36.5,71.23,71.23,,2.109375,,,32379.48
2026-09-02T10:29:26.665344+00:00,26596,pwsh,21.75,29.08,29.08,,1.78125,,,32379.48
2026-09-02T10:29:26.665397+00:00,20608,python,0.05,0.86,0.86,,0,,,32379.48
2026-09-02T10:29:26.665428+00:00,26580,python,6.49,9.34,9.34,,0.265625,,,32379.48
2026-09-02T10:29:26.665456+00:00,27172,pwsh,93.1,28.29,28.29,,0.984375,,,32379.48
2026-09-02T10:29:26.665481+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,32379.48
2026-09-02T10:29:26.665505+00:00,11460,python,27.5,15.67,15.67,,0.21875,,,32379.48
2026-09-02T10:29:26.665529+00:00,28496,llama-server,5194.02,5241.82,5241.82,,6.875,,,32379.48
2026-09-02T10:29:32.001724+00:00,3644,pwsh,11.33,27.63,27.63,,0.921875,,,35481.78
2026-09-02T10:29:32.002647+00:00,21824,ollama,37.09,71.86,71.86,,2.125,,,35481.78
2026-09-02T10:29:32.002693+00:00,26596,pwsh,21.82,29.08,29.08,,1.796875,,,35481.78
2026-09-02T10:29:32.002725+00:00,20608,python,0.05,0.86,0.86,,0,,,35481.78
2026-09-02T10:29:32.002752+00:00,26580,python,6.5,9.34,9.34,,0.28125,,,35481.78
2026-09-02T10:29:32.002777+00:00,27172,pwsh,93.13,28.34,28.34,,0.984375,,,35481.78
2026-09-02T10:29:32.002801+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,35481.78
2026-09-02T10:29:32.002825+00:00,11460,python,27.45,15.57,15.57,,0.21875,,,35481.78
2026-09-02T10:29:32.002848+00:00,28496,llama-server,5195.71,5243.45,5243.45,,8.40625,,,35481.78
2026-09-02T10:29:42.235624+00:00,3644,pwsh,11.59,27.63,27.63,,0.921875,,,25334.15
2026-09-02T10:29:42.235768+00:00,21824,ollama,38.39,73.15,73.15,,2.203125,,,25334.15
2026-09-02T10:29:42.235803+00:00,26596,pwsh,21.58,27.87,27.87,,1.796875,,,25334.15
2026-09-02T10:29:42.235828+00:00,20608,python,0.05,0.86,0.86,,0,,,25334.15
2026-09-02T10:29:42.235852+00:00,26580,python,6.52,9.34,9.34,,0.296875,,,25334.15
2026-09-02T10:29:42.235875+00:00,27172,pwsh,93.28,28.36,28.36,,1.03125,,,25334.15
2026-09-02T10:29:42.235898+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,25334.15
2026-09-02T10:29:42.235919+00:00,11460,python,27.45,15.57,15.57,,0.21875,,,25334.15
2026-09-02T10:29:42.235942+00:00,28496,llama-server,5197.69,5245.44,5245.44,,11.140625,,,25334.15
2026-09-02T10:29:50.204600+00:00,3644,pwsh,11.88,27.68,27.68,,0.921875,,,25356.86
2026-09-02T10:29:50.204723+00:00,21824,ollama,38.43,73.19,73.19,,2.265625,,,25356.86
2026-09-02T10:29:50.204851+00:00,26596,pwsh,22.29,28.0,28.0,,1.796875,,,25356.86
2026-09-02T10:29:50.204880+00:00,20608,python,0.05,0.86,0.86,,0,,,25356.86
2026-09-02T10:29:50.204908+00:00,26580,python,6.53,9.34,9.34,,0.296875,,,25356.86
2026-09-02T10:29:50.204934+00:00,27172,pwsh,93.27,28.34,28.34,,1.03125,,,25356.86
2026-09-02T10:29:50.204959+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,25356.86
2026-09-02T10:29:50.204983+00:00,11460,python,27.45,15.57,15.57,,0.21875,,,25356.86
2026-09-02T10:29:50.205008+00:00,28496,llama-server,5197.7,5245.45,5245.45,,13.59375,,,25356.86
2026-09-02T10:29:58.210722+00:00,3644,pwsh,11.96,27.68,27.68,,0.921875,,,25470.69
2026-09-02T10:29:58.210869+00:00,21824,ollama,38.88,73.64,73.64,,2.28125,,,25470.69
2026-09-02T10:29:58.210911+00:00,26596,pwsh,22.32,27.75,27.75,,1.796875,,,25470.69
2026-09-02T10:29:58.210948+00:00,20608,python,0.05,0.86,0.86,,0,,,25470.69
2026-09-02T10:29:58.210974+00:00,26580,python,6.54,9.34,9.34,,0.3125,,,25470.69
2026-09-02T10:29:58.210997+00:00,27172,pwsh,93.24,28.29,28.29,,1.03125,,,25470.69
2026-09-02T10:29:58.211020+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,25470.69
2026-09-02T10:29:58.211042+00:00,11460,python,27.45,15.57,15.57,,0.21875,,,25470.69
2026-09-02T10:29:58.211065+00:00,28496,llama-server,5200.87,5248.62,5248.62,,15.96875,,,25470.69
2026-09-02T10:30:04.980652+00:00,3644,pwsh,12.1,27.68,27.68,,0.9375,,,25386.38
2026-09-02T10:30:04.980819+00:00,21824,ollama,39.25,74.02,74.02,,2.28125,,,25386.38
2026-09-02T10:30:04.980850+00:00,26596,pwsh,21.71,27.6,27.6,,1.796875,,,25386.38
2026-09-02T10:30:04.980873+00:00,20608,python,0.05,0.86,0.86,,0,,,25386.38
2026-09-02T10:30:04.980897+00:00,26580,python,6.54,9.34,9.34,,0.328125,,,25386.38
2026-09-02T10:30:04.980918+00:00,27172,pwsh,93.33,28.23,28.23,,1.046875,,,25386.38
2026-09-02T10:30:04.980939+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,25386.38
2026-09-02T10:30:04.980960+00:00,11460,python,27.45,15.57,15.57,,0.234375,,,25386.38
2026-09-02T10:30:04.980980+00:00,28496,llama-server,5202.15,5249.91,5249.91,,18.1875,,,25386.38
2026-09-02T10:30:13.363630+00:00,3644,pwsh,12.15,27.63,27.63,,0.9375,,,25493.97
2026-09-02T10:30:13.363757+00:00,21824,ollama,39.28,74.05,74.05,,2.3125,,,25493.97
2026-09-02T10:30:13.363791+00:00,26596,pwsh,22.88,28.07,28.07,,1.8125,,,25493.97
2026-09-02T10:30:13.363823+00:00,20608,python,0.05,0.86,0.86,,0,,,25493.97
2026-09-02T10:30:13.363854+00:00,26580,python,6.54,9.34,9.34,,0.34375,,,25493.97
2026-09-02T10:30:13.363883+00:00,27172,pwsh,93.32,28.22,28.22,,1.046875,,,25493.97
2026-09-02T10:30:13.364003+00:00,4136,python,4.19,0.86,0.86,,0.015625,,,25493.97
2026-09-02T10:30:13.364031+00:00,11460,python,27.45,15.57,15.57,,0.234375,,,25493.97
2026-09-02T10:30:13.364053+00:00,28496,llama-server,5203.82,5251.55,5251.55,,20.578125,,,25493.97
